UserID,Username,PasswordHash,UserGroup
1,"Timothy Sweeney",$2b$12$KJBOklBUzP90x0AgXd2hl.6Vk9NEtltUbeKyfiDDN5kHOiYvYoP3m,A
2,"James Boyd",$2b$12$T3cA2nm7dJLGzecg5Tt6SuObbOVLez5UBVVSnU18Rx1QkTHLbNkge,A
3,"Miguel Gould",$2b$12$UWbCTPXpCycSzsTVvqVE/On.5oBGWUQapkznYDy.PcgDevB5QeNtK,A
4,"Melanie Bowers",$2b$12$nrcMTggGAHYojv605RV0OeDBlb0loVFBMmowhsoK30sFLQqrxMR..,A
5,"Julia Mann",$2b$12$rtmZgVK3CePYKJXC0.jB4uUWD9/S0cGSmTijHCaZCLV3mrFZPvXSi,A
6,"Donna Lam",$2b$12$zNzbdB/WLRhzr5ELgYKny.P7R5Z2zAp3E0RQc/qJLFZcjVs1B7oAm,A
7,"Lance Thompson",$2b$12$PCd8mbvuii8u5if3/YrVq.ArC3OHljC7Af7tYfLUQCZzoGfh9QT1.,A
8,"Christine Roberts",$2b$12$PohbjUP1i3aHc2mmP4YvTeQdT6UtIqWybxvLtLJyB0gfayppcgX3a,A
9,"Jonathon Gonzalez",$2b$12$8XKp9KdAbP35SGAwgYZpDedZCIKxSaI3P7laewUbiTkO4/GoJI4DS,A
10,"Lisa Conrad",$2b$12$bdB/wDPGpTzQY7HkbLNOmeNqi1UuKT4SlZfAA4snUrVuu24cQAGbW,A
11,"Samuel Stark",$2b$12$pBav7NPZD4FKFQaGmFbqBecGL5rhjiB.ONvQ9D71JAUoyM7JM3xuC,V
12,"Alexandra Snyder",$2b$12$tZKq/MR0XglypUoN1nXux.9RNmfoCBQvm6zaVr196Ndevt/0/pbYK,V
13,"Michael Morris",$2b$12$YN2GMk5dTUx.8vyqt2wLFuSmcDeZlROOneXyNzKra/qbli0NQS52K,V
14,"Ashley Hernandez",$2b$12$9CXCLivpMu/OYJWDiSSdwOPGpYQfgMf.ma/mv0SJ2isovoTpJs4te,V
